name,station_number,elevation,easting_original,northing_original,easting,northing
1108_1359,1280,2224.209,2702308.304,1172858.835,1108.3040000000037,1358.8349999999627
1137_1360,1281,2221.917,2702336.782,1172859.997,1136.782000000123,1359.996999999974
1165_1360,1282,2218.742,2702365.359,1172860.187,1165.3590000001714,1360.186999999918
1194_1361,1283,2218.157,2702393.979,1172860.725,1193.9789999998175,1360.7250000000931
1224_1359,1284,2218.494,2702423.719,1172858.697,1223.719000000041,1358.6969999999274
1251_1361,1285,2222.905,2702451.277,1172861.455,1251.276999999769,1361.4550000000745
1281_1360,1286,2223.907,2702480.968,1172860.194,1280.967999999877,1360.1939999999013
1308_1362,1287,2226.281,2702507.952,1172862.374,1307.9520000000484,1362.374000000069
1338_1364,1288,2223.979,2702537.563,1172863.69,1337.563000000082,1363.6899999999441
1365_1363,1289,2228.143,2702565.486,1172863.197,1365.4860000000335,1363.1969999999274
1393_1364,1290,2232.445,2702593.471,1172863.813,1393.4709999999031,1363.813000000082
1422_1364,1291,2234.618,2702622.442,1172864.415,1422.4419999998063,1364.4150000000373
1451_1365,1292,2240.67,2702650.896,1172864.777,1450.8960000001825,1364.7770000000019
1480_1365,1293,2246.813,2702680.023,1172865.451,1480.0230000000447,1365.4509999998845
1508_1365,1294,2251.595,2702707.698,1172865.256,1507.6979999998584,1365.2560000000522
1536_1365,1295,2259.188,2702736.406,1172864.757,1536.405999999959,1364.7569999999832
 637_1328,1296,2117.654,2701837.294,1172827.521,637.2940000002272,1327.5209999999497
 666_1327,1297,2134.839,2701865.95,1172827.361,665.9500000001863,1327.3610000000335
 694_1328,1298,2149.39,2701894.057,1172828.416,694.0570000000298,1328.4159999999683
 723_1328,1299,2162.13,2701923.437,1172828.177,723.436999999918,1328.1769999999087
 752_1329,1300,2169.825,2701951.572,1172829.353,751.5720000001602,1329.3529999998864
 780_1330,1301,2179.613,2701979.799,1172829.5,779.7990000001155,1329.5
 809_1330,1302,2191.953,2702008.772,1172830.377,808.7719999998808,1330.377000000095
 838_1330,1303,2199.962,2702037.601,1172830.421,837.6009999997914,1330.4210000000894
 867_1331,1304,2206.938,2702066.576,1172831.126,866.5759999998845,1331.125999999931
 895_1332,1305,2215.395,2702094.536,1172831.667,894.5359999998473,1331.6669999998994
 952_1332,1307,2219.786,2702151.93,1172832.311,951.9300000001676,1332.310999999987
 980_1333,1308,2225.633,2702180.297,1172833.017,980.2969999997877,1333.0169999999925
1010_1334,1309,2229.325,2702209.811,1172833.705,1009.8110000002198,1333.7050000000745
1038_1334,1310,2226.581,2702238.045,1172833.708,1038.0449999999255,1333.7080000001006
1066_1334,1311,2225.181,2702266.248,1172834.03,1066.2480000001378,1334.030000000028
1095_1335,1312,2221.223,2702294.641,1172835.303,1094.6409999998286,1335.3030000000726
1124_1333,1313,2218.327,2702324.189,1172833.313,1124.1889999997802,1333.313000000082
1152_1336,1314,2213.683,2702351.748,1172835.777,1151.7480000001378,1335.7770000000019
1180_1336,1315,2208.032,2702380.158,1172836.193,1180.1579999998212,1336.1929999999702
1206_1337,1316,2207.681,2702405.942,1172836.849,1205.9419999998063,1336.8489999999292
1238_1337,1317,2210.735,2702437.765,1172837.092,1237.7650000001304,1337.091999999946
1266_1337,1318,2214.4,2702466.39,1172837.486,1266.3900000001304,1337.4860000000335
1294_1338,1319,2215.079,2702494.469,1172838.409,1294.469000000041,1338.408999999985
1324_1338,1320,2210.658,2702523.678,1172838.094,1323.6779999998398,1338.094000000041
1380_1340,1322,2217.755,2702580.147,1172839.827,1380.1469999998808,1339.8270000000484
1409_1340,1323,2224.495,2702609.082,1172840.207,1409.0819999999367,1340.2069999999367
1438_1341,1324,2232.04,2702638.261,1172840.706,1438.2609999999404,1340.7060000000056
1467_1341,1325,2237.708,2702666.79,1172841.297,1466.7900000000373,1341.2970000000205
1496_1342,1326,2242.046,2702695.578,1172841.744,1495.5780000002123,1341.7439999999478
1524_1342,1327,2246.248,2702723.679,1172842.159,1523.6790000000037,1342.158999999985
1552_1342,1328,2247.069,2702752.189,1172842.242,1552.1889999997802,1342.2420000000857
 740_1306,1332,2156.966,2701939.51,1172806.472,739.5099999997765,1306.472000000067
 768_1306,1333,2165.838,2701968.451,1172806.139,768.4509999998845,1306.1389999999665
 796_1307,1334,2174.655,2701996.39,1172806.916,796.3900000001304,1306.9159999999683
 824_1307,1335,2182.401,2702023.899,1172807.083,823.8990000002086,1307.0830000001006
 853_1306,1336,2190.803,2702053.193,1172806.467,853.1929999999702,1306.466999999946
 882_1307,1337,2198.947,2702081.895,1172806.92,881.8950000000186,1306.9199999999255
 910_1309,1338,2208.831,2702110.493,1172808.866,910.4929999997839,1308.8659999999218
 938_1308,1339,2214.852,2702138.375,1172808.374,938.375,1308.374000000069
 968_1309,1340,2220.24,2702167.912,1172809.127,967.9120000000112,1309.127000000095
 996_1309,1341,2224.58,2702195.706,1172808.766,995.7059999997728,1308.7660000000615
1025_1311,1342,2227.564,2702224.827,1172810.729,1024.8270000000484,1310.7290000000503
1053_1310,1343,2224.039,2702252.839,1172810.028,1052.8390000001527,1310.027999999933
1081_1312,1344,2222.583,2702281.472,1172811.57,1081.472000000067,1311.5700000000652
1110_1311,1345,2217.297,2702310.351,1172811.451,1110.3509999997914,1311.4509999998845
1139_1312,1346,2211.93,2702338.896,1172812.336,1138.8960000001825,1312.3359999998938
1168_1313,1347,2205.156,2702368.151,1172812.883,1168.1510000000708,1312.8829999999143
1196_1313,1348,2203.967,2702396.1,1172812.625,1196.1000000000931,1312.625
